
INSERT INTO Peliculas (id, Nombre, Director, Genero, Duracion, Publicacion, Enlace) VALUES
(488, 'Pelicula 488', 'Director 488', 'Genero 488', 140, '2023-05-02', 'https://www.example.com/pelicula488'),
(489, 'Pelicula 489', 'Director 489', 'Genero 489', 115, '2023-05-03', 'https://www.example.com/pelicula489'),
(490, 'Pelicula 490', 'Director 490', 'Genero 490', 150, '2023-05-04', 'https://www.example.com/pelicula490'),
(491, 'Pelicula 491', 'Director 491', 'Genero 491', 120, '2023-05-05', 'https://www.example.com/pelicula491'),
(492, 'Pelicula 492', 'Director 492', 'Genero 492', 110, '2023-05-06', 'https://www.example.com/pelicula492'),
(493, 'Pelicula 493', 'Director 493', 'Genero 493', 115, '2023-05-07', 'https://www.example.com/pelicula493'),
(494, 'Pelicula 494', 'Director 494', 'Genero 494', 125, '2023-05-08', 'https://www.example.com/pelicula494'),
(495, 'Pelicula 495', 'Director 495', 'Genero 495', 105, '2023-05-09', 'https://www.example.com/pelicula495'),
(496, 'Pelicula 496', 'Director 496', 'Genero 496', 95, '2023-05-10', 'https://www.example.com/pelicula496'),
(497, 'Pelicula 497', 'Director 497', 'Genero 497', 130, '2023-05-11', 'https://www.example.com/pelicula497'),
(498, 'Pelicula 498', 'Director 498', 'Genero 498', 140, '2023-05-12', 'https://www.example.com/pelicula498'),
(499, 'Pelicula 499', 'Director 499', 'Genero 499', 115, '2023-05-13', 'https://www.example.com/pelicula499'),
(500, 'Pelicula 500', 'Director 500', 'Genero 500', 150, '2023-05-14', 'https://www.example.com/pelicula500');


